# #GHz real imag
5.375000000000000000e+01 -7.805909246047532113e-02 6.418825135789801850e-02
5.376250000000000284e+01 -5.976654730842591301e-02 7.491522113193753440e-02
5.377499999999999858e+01 -4.040804984434172298e-02 8.295374362408799995e-02
5.378750000000000142e+01 -1.935821814837759489e-02 8.682291642649715702e-02
5.379999999999999716e+01 2.601376051468286092e-03 8.589490245496467224e-02
5.381250000000000000e+01 2.408847128160053128e-02 7.971613006231981213e-02
5.382500000000000284e+01 4.379170349452204958e-02 6.836513575120373165e-02
5.383749999999999858e+01 5.998700537814032757e-02 5.239972453785955026e-02
5.385000000000000142e+01 7.185376184910284569e-02 3.352884298919323047e-02
5.386249999999999716e+01 7.977884078087238429e-02 1.247225431350848339e-02
5.387500000000000000e+01 8.261922154520150163e-02 -1.043493126399838711e-02
5.388750000000000284e+01 8.007220250728763755e-02 -3.358738957242866224e-02
5.389999999999999858e+01 7.195314664566304641e-02 -5.592783085938231313e-02
5.391250000000000142e+01 5.868436429218529954e-02 -7.543585443730044249e-02
5.392499999999999716e+01 4.130012445787670239e-02 -9.129765094896902244e-02
5.393750000000000000e+01 2.078106883207818389e-02 -1.031461493497707882e-01
5.395000000000000284e+01 -2.006166940073244708e-03 -1.102644542943159722e-01
5.396249999999999858e+01 -2.596423335886884412e-02 -1.119593090388231876e-01
5.397500000000000142e+01 -4.968966217402654567e-02 -1.081955560705793878e-01
5.398749999999999716e+01 -7.192498994531186518e-02 -9.948021016214510237e-02
5.400000000000000000e+01 -9.201206429487715499e-02 -8.624023742500319667e-02
5.401250000000000284e+01 -1.087386753857385174e-01 -6.881014940760267484e-02
5.402499999999999858e+01 -1.212198825150040404e-01 -4.797299060127534209e-02
5.403750000000000142e+01 -1.286159422578407874e-01 -2.481945470413448457e-02
5.404999999999999716e+01 -1.303290295203216320e-01 -8.377798654489141154e-04
5.406250000000000000e+01 -1.271094948643738398e-01 2.262439020716032478e-02
5.407500000000000284e+01 -1.189665955572179884e-01 4.478387998674195070e-02
5.408749999999999858e+01 -1.064015550118659059e-01 6.467485915088716508e-02
5.410000000000000142e+01 -8.985238639517099946e-02 8.109013028308048598e-02
5.411249999999999716e+01 -7.063843107779753383e-02 9.328441454312506875e-02
5.412500000000000000e+01 -4.949278513638441512e-02 1.012191942869832134e-01
5.413750000000000284e+01 -2.709766071778847707e-02 1.042736889336839251e-01
5.414999999999999858e+01 -4.680365797283244332e-03 1.022186434256517062e-01
5.416250000000000142e+01 1.641579719733630635e-02 9.517963594610732991e-02
5.417499999999999716e+01 3.498880926049183909e-02 8.375143172428869964e-02
5.418750000000000000e+01 5.020806170826098980e-02 6.874373711682758847e-02
5.420000000000000284e+01 6.162002077699964275e-02 5.110456607273713980e-02
5.421249999999999858e+01 6.879108801938829676e-02 3.148456213552294075e-02
5.422500000000000142e+01 7.100157624945610535e-02 1.093863624249886979e-02
5.423749999999999716e+01 6.804626123914671310e-02 -9.146843056556466095e-03
5.425000000000000000e+01 6.080047153444839703e-02 -2.737563941749656185e-02
5.426250000000000284e+01 5.003298564930137859e-02 -4.301398136667585609e-02
5.427499999999999858e+01 3.654798767297420120e-02 -5.583137430009568747e-02
5.428750000000000142e+01 2.063551778844044393e-02 -6.570847047609558456e-02
5.429999999999999716e+01 2.261869137463332503e-03 -7.234369176617125308e-02
5.431250000000000000e+01 -1.862197645401115348e-02 -7.349787666228747851e-02
5.432500000000000284e+01 -3.845296200562758199e-02 -6.792511648686000436e-02
5.433749999999999858e+01 -5.522033715687966332e-02 -5.769551814307914001e-02
5.435000000000000142e+01 -6.875060816412578713e-02 -4.422990123184099981e-02
5.436249999999999716e+01 -7.848086437653421787e-02 -2.778525541860073569e-02
5.437500000000000000e+01 -8.366517209829224533e-02 -9.703454209317355361e-03
5.438750000000000284e+01 -8.416367986913808608e-02 8.872224113587467292e-03
5.439999999999999858e+01 -8.046480805774150480e-02 2.677732168907442922e-02
5.441250000000000142e+01 -7.276314370551698052e-02 4.344278844985158261e-02
5.442499999999999716e+01 -6.137038517564331885e-02 5.827984498937504448e-02
5.443750000000000000e+01 -4.603899732546930246e-02 7.006312179504466109e-02
5.445000000000000284e+01 -2.839776480215108756e-02 7.771208283257953486e-02
5.446249999999999858e+01 -9.395397258008584759e-03 8.093916678677937071e-02
5.447500000000000142e+01 9.888616272944133687e-03 8.001560972122200022e-02
5.448749999999999716e+01 2.897014420447878436e-02 7.460667174811648483e-02
5.450000000000000000e+01 4.668955909380689134e-02 6.482862966415635364e-02
5.451250000000000284e+01 6.173127934818690987e-02 5.075898065162634532e-02
5.452499999999999858e+01 7.321398758424844944e-02 3.371196417148052821e-02
5.453750000000000142e+01 8.074466018708567616e-02 1.438927754844191581e-02
5.454999999999999716e+01 8.422097084377802578e-02 -6.385659289249287843e-03
5.456250000000000000e+01 8.284546862382714816e-02 -2.793912232321149255e-02
5.457500000000000284e+01 7.648394681277455309e-02 -4.895853983913611013e-02
5.458749999999999858e+01 6.542382301672074185e-02 -6.793985087471501871e-02
5.460000000000000142e+01 5.065024662569277830e-02 -8.410131534136139342e-02
5.461249999999999716e+01 3.282877184940116710e-02 -9.697037702294408756e-02
5.462500000000000000e+01 1.240714262090046593e-02 -1.059312308653677370e-01
5.463750000000000284e+01 -9.706108195725753063e-03 -1.102376408770276150e-01
5.464999999999999858e+01 -3.230784373067793758e-02 -1.094918490169915631e-01
5.466250000000000142e+01 -5.411207260589935564e-02 -1.039083544532440895e-01
5.467499999999999716e+01 -7.409750586932788152e-02 -9.393289895391065958e-02
5.468750000000000000e+01 -9.177353323306534916e-02 -8.004751530127462988e-02
